,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,65,48,21,27,9,1
1,Palmeiras,55,49,34,15,15,2
2,Flamengo,53,53,26,27,8,3
3,Fortaleza,49,40,34,6,7,4
4,Corinthians,47,32,29,3,7,5
5,Bragantino,45,43,36,7,4,6
6,Internacional,43,38,32,6,4,7
7,Fluminense,41,28,29,-1,9,8
8,América-MG,40,32,33,-1,10,9
9,Athlético-PR,40,36,38,-2,6,10
10,Ceará,38,27,29,-2,8,11
11,Atlético-GO,37,23,28,-5,6,12
12,São Paulo,36,24,29,-5,7,13
13,Cuiabá,35,26,27,-1,5,14
14,Bahia,35,32,41,-9,8,15
15,Santos,35,26,36,-10,7,16
16,Juventude,32,28,36,-8,5,17
17,Sport,30,19,28,-9,4,18
18,Grêmio,26,24,36,-12,6,19
19,Chapecoense,15,26,52,-26,2,20
