,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,28,24,12,12,15,1
1,Atlético-MG,25,16,10,6,15,2
2,Fortaleza,24,20,9,11,12,3
3,Bragantino,24,24,15,9,7,4
4,Athlético-PR,20,19,12,7,7,5
5,Flamengo,18,17,9,8,9,6
6,Ceará,18,14,12,2,9,7
7,Fluminense,17,10,11,-1,7,8
8,Bahia,17,18,19,-1,6,9
9,Santos,16,15,15,0,5,10
10,Atlético-GO,15,9,12,-3,5,11
11,Corinthians,14,9,10,-1,5,12
12,Internacional,14,11,16,-5,5,13
13,Juventude,13,8,14,-6,4,14
14,São Paulo,11,8,12,-4,7,15
15,Sport,10,7,11,-4,5,16
16,Cuiabá,9,10,13,-3,5,17
17,América-MG,9,9,17,-8,6,18
18,Grêmio,6,5,12,-7,4,19
19,Chapecoense,4,11,23,-12,0,20
