,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Ceará,Chapecoense,1.71,3.59,5.28
1,Corinthians,Palmeiras,2.78,3.07,2.74
2,São Paulo,Atlético-MG,2.65,3.1,2.88
3,América-MG,Flamengo,4.91,3.71,1.72
4,Juventude,Santos,3.02,3.03,2.52
5,Fluminense,Bragantino,2.24,3.19,3.36
6,Internacional,Bahia,1.87,3.6,4.13
7,Athletico-PR,Grêmio,3.12,3.15,2.38
8,Sport,Fortaleza,3.77,3.19,2.08
9,Atlético-GO,Cuiabá,2.26,3.1,3.43
