,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,0,65.57097916666666,1,65.700625,1,65.44133333333333,1
1,1,57.9489705882353,2,64.44500000000001,2,51.45294117647059,2
2,3,49.80361111111111,3,51.382222222222225,4,48.225,4
3,12,48.42575000000001,4,45.477500000000006,13,51.37400000000001,3
4,5,44.56856617647058,5,49.81588235294117,6,39.32125,9
5,7,44.51336397058823,6,49.50235294117647,8,39.524375,8
6,10,44.376041666666666,7,48.478750000000005,11,40.273333333333326,7
7,4,44.314232026143785,8,50.65235294117647,5,37.97611111111111,12
8,6,43.964305555555555,9,49.5825,7,38.346111111111114,11
9,2,43.753897058823526,10,53.0925,3,34.41529411764706,15
10,8,42.16964705882353,11,49.17529411764706,9,35.164,14
11,11,41.8205625,12,46.508,12,37.133125,13
12,17,41.27825,13,38.5425,18,44.014,5
13,18,39.38174208144796,14,37.32230769230769,19,41.44117647058823,6
14,16,39.00383333333333,15,39.375,17,38.632666666666665,10
15,9,38.11833333333333,16,48.534,10,27.702666666666666,20
16,14,37.86749999999999,17,43.724374999999995,15,32.010625,16
17,13,37.314708333333336,18,43.81066666666667,14,30.81875,17
18,15,35.33296078431373,19,42.20058823529411,16,28.465333333333334,19
19,19,29.203363970588235,20,28.672352941176474,20,29.734375,18
