,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Cuiabá,Grêmio,3.2,3.05,2.42
1,Atlético-GO,Chapecoense,1.82,3.35,4.56
2,Grêmio,Bahia,1.91,3.29,4.24
3,Juventude,Fortaleza,3.36,3.03,2.26
4,Palmeiras,Cuiabá,1.41,4.35,8.13
5,Athletico-PR,Corinthians,2.4,3.08,3.09
6,Ceará,Flamengo,4.59,3.57,1.76
7,Santos,Internacional,2.44,3.17,3.02
8,Sport,São Paulo,3.48,3.08,2.21
9,América-MG,Bragantino,2.92,3.12,2.49
10,Fluminense,Atlético-MG,3.17,3.05,2.42
