,clube,P
0,Atlético-MG,68.71253898040061
1,Palmeiras,64.31321312342486
2,Flamengo,62.24073218074805
3,Bragantino,59.31411286768164
4,Fortaleza,58.630413735080154
5,Corinthians,56.736285726295804
6,Athlético-PR,52.757571358390365
7,São Paulo,52.67551939498696
8,Internacional,52.17782313385167
9,Santos,49.82474060098039
10,Fluminense,49.28289464065503
11,Ceará,47.753671776277336
12,Atlético-GO,45.28474900070759
13,Bahia,42.29261647222671
14,Juventude,41.15808490490653
15,Grêmio,40.12126103219628
16,Sport,38.54837741707153
17,Cuiabá,38.35604454107924
18,América-MG,34.91623798349356
19,Chapecoense,29.36264296539446
