,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 1, 'CA': 3, 'DS': 18, 'FC': 14, 'FD': 2, 'FF': 8, 'FS': 6, 'FT': 1, 'PI': 41}",104521,33,277,4,7,1.1,1.85,-0.11,1.3,16,vinicius-zanocelo,Vinícius Zanocelo,V. Zanocelo,Vinícius Nelson de Souza Zanocelo,https://s.glbimg.com/es/sde/f/2021/08/31/741445a1c293c570489c8192d4fa9ecf_FORMATO.png,Provável
1,"{'CA': 1, 'DE': 53, 'FS': 6, 'GS': 21, 'SG': 7}",71631,33,275,1,7,2.0,13.93,0.31,3.58,19,weverton,Weverton,Weverton,Weverton Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/30/33d63334ddcba3f0e0150bb2c5aadd75_FORMATO.png,Provável
2,"{'A': 1, 'CA': 4, 'DS': 30, 'FC': 22, 'FF': 1, 'FS': 21, 'GC': 1, 'I': 1, 'PI': 85, 'SG': 8}",112141,33,285,2,2,-2.1,4.08,-1.33,3.35,16,paulo-victor,Paulo Victor ,P. Victor,Paulo Victor de Almeida Barbosa,https://s.glbimg.com/es/sde/f/2021/06/25/825f48c210609fbc254adc3225599123_FORMATO.png,Dúvida
3,"{'A': 2, 'CA': 3, 'DS': 66, 'FC': 21, 'FD': 2, 'FF': 2, 'FS': 12, 'I': 2, 'PI': 134, 'SG': 10}",38750,33,262,2,7,8.2,9.5,0.08,5.02,21,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s.glbimg.com/es/sde/f/2021/05/01/d86e6ac0aeabadf61f4625bb2f705863_FORMATO.png,Provável
4,"{'CA': 4, 'DS': 94, 'FC': 32, 'FD': 6, 'FF': 4, 'FS': 40, 'I': 1, 'PI': 318, 'SG': 9}",42500,33,264,2,7,1.6,11.48,-0.06,3.77,30,fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s.glbimg.com/es/sde/f/2021/08/06/1dbfc9287c7d5ed6dcd220b9228fc055_FORMATO.png,Provável
5,{},110506,33,275,6,7,2.27,11.79,0.07,4.25,32,abel-ferreira,Abel Ferreira,A. Ferreira,Abel Fernando Moreira Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Provável
6,{},37245,33,265,6,7,2.07,9.06,-0.16,3.82,26,guto-ferreira,Guto Ferreira,G. Ferreira,Augusto Sérgio Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Provável
7,"{'CA': 4, 'CV': 1, 'DS': 25, 'FC': 15, 'FD': 2, 'FF': 6, 'FS': 12, 'G': 1, 'PI': 94, 'SG': 5}",38394,33,293,3,6,0.0,8.03,0.0,1.88,22,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,Nulo
8,{},110988,33,373,1,6,0.0,1.0,0.0,0.0,0,breno,Breno,Breno,Breno Boeno,https://s.glbimg.com/es/sde/f/2021/04/20/f8adf8de4a79345e0b300d60c1ac6d67_FORMATO.png,Nulo
9,{},101820,33,265,2,6,0.0,2.0,0.0,0.0,0,mayk,Mayk,Mayk,Mayksilvan da Silva Ferreira,https://s.glbimg.com/es/sde/f/2020/06/17/a8484e851ddec58f93407676874794be_FORMATO.png,Nulo
10,"{'DS': 1, 'PI': 1}",101733,33,265,4,6,0.0,0.88,0.0,0.45,2,pablo,Pablo,Pablo,Pablo Roberto dos Santos Barbosa,https://s.glbimg.com/es/sde/f/2021/03/11/654dc36be8acdeed57009858bb00657a_FORMATO.png,Nulo
11,"{'FS': 1, 'PI': 5}",113558,33,280,5,6,0.2,0.77,-0.01,0.0,2,bruninho,Bruninho,Bruninho,Bruno Gonçalves de Jesus,https://s.glbimg.com/es/sde/f/2021/06/08/4c4516947281086a2f097a758cc90170_FORMATO.jpeg,Nulo
12,{'CV': 1},107759,33,285,1,6,0.0,0.71,0.0,-5.0,0,vitor-hugo,Vitor Hugo,V. Hugo,Vitor Hugo Batista Araújo de Mendonça,https://s.glbimg.com/es/sde/f/2021/04/26/893b6b54b2503b7a75ba876ef1146303_FORMATO.png,Nulo
