,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Fortaleza,66.74499999999999,1,65.18333333333334,1,46.10833333333333,6
1,Flamengo,64.30166666666668,2,46.40333333333333,9,69.95,1
2,Palmeiras,58.25666666666667,3,56.69333333333333,4,60.23666666666667,2
3,Atlético-MG,57.43666666666666,4,64.325,2,44.60166666666667,7
4,Internacional,56.781666666666666,5,36.71333333333334,15,54.03666666666666,4
5,Ceará,54.41833333333333,6,51.654999999999994,6,43.12833333333333,8
6,Bragantino,45.345,7,52.72666666666667,5,55.74333333333332,3
7,São Paulo,43.38333333333333,8,41.001666666666665,12,36.11000000000001,12
8,Corinthians,42.251666666666665,9,40.181666666666665,14,42.65333333333333,10
9,Grêmio,42.22,10,50.06166666666667,7,26.83833333333334,19
10,Sport,36.90666666666667,11,32.47,17,35.888333333333335,14
11,América-MG,36.455,12,41.91,10,34.571666666666665,15
12,Fluminense,35.291666666666664,13,40.891666666666666,13,29.29166666666667,18
13,Cuiabá,32.346666666666664,14,23.101666666666674,20,46.6,5
14,Santos,31.365,15,58.49166666666667,3,30.38166666666667,17
15,Atlético-GO,30.016666666666662,16,25.453333333333333,19,43.10833333333334,9
16,Chapecoense,28.381666666666664,17,32.346666666666664,18,31.563333333333333,16
17,Athlético-PR,27.055000000000003,18,41.18333333333333,11,41.85333333333333,11
18,Juventude,25.489999999999995,19,47.12833333333333,8,22.451666666666668,20
19,Bahia,25.253333333333334,20,34.90833333333333,16,35.94333333333333,13
