,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,1,63.229277777777774,1,61.017222222222216,2,65.44133333333333,1
1,0,57.33841503267974,2,63.2238888888889,1,51.45294117647058,3
2,3,50.030555555555566,3,51.382222222222225,4,48.6788888888889,4
3,13,48.32369485294118,4,44.61176470588235,14,52.03562500000001,2
4,6,44.935620915032686,5,49.50235294117647,7,40.3688888888889,7
5,5,44.40882352941176,6,50.43000000000001,6,38.387647058823525,9
6,2,44.01230263157895,7,53.0925,3,34.93210526315789,14
7,8,43.68527777777778,8,49.02444444444444,9,38.346111111111114,10
8,4,43.32643962848297,9,50.65235294117647,5,36.00052631578947,13
9,11,43.23138888888889,10,46.18944444444443,12,40.27333333333333,8
10,10,42.6615625,11,48.190000000000005,11,37.133125,11
11,17,41.4846875,12,38.5425,18,44.426875,5
12,7,40.91294117647058,13,49.17529411764706,8,32.65058823529411,16
13,18,39.54092156862745,14,37.64066666666666,19,41.44117647058823,6
14,16,39.141029411764706,15,41.30705882352942,17,36.975,12
15,14,38.53468749999999,16,43.72437499999999,15,33.345,15
16,12,38.25731617647059,17,45.695882352941176,13,30.818749999999998,17
17,9,38.04699999999999,18,48.533999999999985,10,27.56,20
18,15,35.54123161764706,19,42.20058823529412,16,28.881875,19
19,19,28.9946875,20,28.255000000000003,20,29.734375,18
