,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Cuiabá,América-MG,2.94,3.0,2.63
1,Fortaleza,Atlético-GO,1.71,3.64,5.14
2,Bahia,Ceará,2.38,3.23,3.12
3,Bragantino,Corinthians,2.63,3.03,2.94
4,Atlético-MG,Internacional,1.77,3.68,4.76
5,Chapecoense,São Paulo,5.0,3.59,1.74
6,Flamengo,Athletico-PR,1.4,4.96,7.53
7,Palmeiras,Juventude,1.48,4.38,6.9
8,Santos,Fluminense,2.72,3.13,2.83
9,Grêmio,Sport,1.57,3.88,6.43
