,clube,P
0,Atlético-MG,68.78096117339308
1,Palmeiras,63.201471921622016
2,Flamengo,60.57716853401172
3,Bragantino,60.05456363245981
4,Fortaleza,58.72431761184065
5,Corinthians,54.943930653386836
6,Athlético-PR,53.690298253440794
7,São Paulo,52.71808478896958
8,Internacional,52.58775355171886
9,Santos,51.3281838655279
10,Ceará,49.14258487374485
11,Fluminense,48.09267901814921
12,Atlético-GO,45.53503545460243
13,Bahia,43.247650057839394
14,Grêmio,41.65748077154095
15,Juventude,41.16752694255742
16,Sport,39.449395601616615
17,Cuiabá,38.408721099428426
18,América-MG,33.180206052298885
19,Chapecoense,29.1709573025096
