,clube,P
0,Palmeiras,67.4180971870274
1,Atlético-MG,65.84331226907503
2,Flamengo,62.304851315405074
3,Bragantino,59.77420004644368
4,Athlético-PR,58.40669240709861
5,Fortaleza,57.07749301198389
6,Santos,52.88444840814193
7,Corinthians,52.123689000700296
8,Fluminense,51.473363646988474
9,Ceará,50.862908984653
10,Internacional,49.247057499717606
11,São Paulo,47.650333282198055
12,Bahia,45.879139211661354
13,Atlético-GO,44.07834343993158
14,Sport,42.18653931528564
15,Grêmio,40.72544013700403
16,Juventude,40.1404777307241
17,Cuiabá,34.218965240441584
18,América-MG,32.10178647082009
19,Chapecoense,30.907952769746284
