,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,56,42,19,23,10,1
1,Flamengo,46,46,21,25,11,2
2,Fortaleza,45,35,30,5,9,3
3,Palmeiras,43,38,32,6,5,4
4,Bragantino,42,42,31,11,9,5
5,Corinthians,40,28,24,4,7,6
6,Internacional,39,34,27,7,7,7
7,Fluminense,35,24,26,-2,4,8
8,Athlético-PR,34,32,33,-1,4,9
9,Atlético-GO,34,21,22,-1,7,10
10,São Paulo,32,22,26,-4,6,11
11,Cuiabá,31,24,24,0,5,12
12,Ceará,31,24,27,-3,3,13
13,América-MG,31,25,29,-4,8,14
14,Santos,29,23,32,-9,5,15
15,Bahia,28,28,38,-10,5,16
16,Sport,27,14,22,-8,10,17
17,Juventude,27,26,35,-9,2,18
18,Grêmio,23,22,30,-8,4,19
19,Chapecoense,13,24,46,-22,3,20
