,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Flamengo,70.15666666666668,1,60.91166666666667,2,73.0375,1
1,Palmeiras,68.23833333333333,2,59.85666666666666,3,57.6,2
2,Fortaleza,66.96499999999999,3,65.18333333333332,1,44.74666666666667,7
3,Atlético-MG,63.98166666666666,4,56.416666666666664,5,52.546666666666674,4
4,Ceará,52.94666666666668,5,43.14666666666667,10,43.12833333333334,9
5,São Paulo,47.855,6,46.330000000000005,8,32.63666666666666,14
6,Corinthians,45.669999999999995,7,37.69166666666667,14,40.01833333333333,11
7,Bragantino,42.67166666666666,8,50.72666666666666,6,55.74333333333334,3
8,América-MG,41.67333333333333,9,41.98333333333333,12,28.55333333333333,17
9,Athlético-PR,39.98166666666666,10,45.89166666666666,9,48.61,5
10,Grêmio,38.445,11,42.025,11,29.456000000000007,16
11,Fluminense,38.14666666666667,12,40.89166666666666,13,33.63666666666666,13
12,Internacional,37.12833333333334,13,31.75,19,42.01833333333333,10
13,Bahia,35.96333333333333,14,33.29,16,38.19833333333333,12
14,Juventude,35.19833333333333,15,47.52833333333333,7,22.451666666666668,19
15,Atlético-GO,34.708333333333336,16,34.163333333333334,15,48.27166666666667,6
16,Santos,34.09166666666666,17,57.0,4,20.45333333333333,20
17,Sport,32.70666666666667,18,32.47,17,26.361666666666668,18
18,Chapecoense,30.126666666666665,19,32.400000000000006,18,31.8,15
19,Cuiabá,26.87333333333333,20,23.490000000000002,20,44.126666666666665,8
