,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Ceará,Athletico-PR,2.48,3.06,3.05
1,São Paulo,Fortaleza,1.84,3.32,4.71
2,Corinthians,Atlético-MG,2.82,3.07,2.71
3,Fluminense,Grêmio,2.31,3.14,3.25
4,Chapecoense,Cuiabá,2.54,3.09,2.92
5,Atlético-GO,Palmeiras,3.46,3.35,2.11
6,Bahia,Flamengo,3.4,3.37,2.14
7,Bragantino,Santos,2.08,3.33,3.69
8,Internacional,Juventude,1.93,3.3,4.26
9,América-MG,Sport,2.07,3.05,4.07
