,clube,P
0,Palmeiras,61.018917247606616
1,Athlético-PR,60.78041341383163
2,Flamengo,60.39475075927962
3,Bragantino,58.07099765858651
4,Atlético-MG,57.295911060474765
5,Santos,54.726691861815496
6,Corinthians,54.193376857596064
7,Fortaleza,52.97722340538489
8,Fluminense,52.19872651877473
9,São Paulo,50.76113236016134
10,Internacional,50.125749829868575
11,Bahia,46.57707314366218
12,Ceará,45.85762031619926
13,Grêmio,45.34676225045836
14,Juventude,42.6575764755658
15,Atlético-GO,42.129993708577224
16,Sport,42.002996353351485
17,Chapecoense,37.666783671769096
18,Cuiabá,33.96754759052285
19,América-MG,32.23973598290986
