,clube,P
0,Atlético-MG,71.14627163719011
1,Flamengo,61.750318943571294
2,Palmeiras,58.380943053592716
3,Bragantino,56.42455496080198
4,Fortaleza,55.822555673389104
5,Corinthians,55.33855689004282
6,Internacional,54.20195824511269
7,Athlético-PR,51.3492190650546
8,Fluminense,49.92899505113554
9,São Paulo,46.752612602156695
10,Santos,46.05993049073474
11,Atlético-GO,45.04759108027154
12,Ceará,44.11332459073788
13,Bahia,42.35557870330428
14,América-MG,41.293099812911
15,Sport,41.27325700293105
16,Cuiabá,40.25110243108219
17,Juventude,40.164459493762195
18,Grêmio,38.216945260512524
19,Chapecoense,26.694203152332978
