,clube,P
0,Atlético-MG,79.01104996900607
1,Flamengo,66.72909388899883
2,Palmeiras,61.94913216373907
3,Corinthians,58.030124070943856
4,Fortaleza,53.63339890681102
5,Bragantino,53.53406349488437
6,Fluminense,51.88687854560353
7,Ceará,49.77657473842512
8,Internacional,48.10071259021149
9,América-MG,47.09277423133841
10,Santos,47.04059996639898
11,São Paulo,46.570717567184744
12,Atlético-GO,43.95110496280605
13,Cuiabá,43.009695589422186
14,Bahia,42.98664849879568
15,Athlético-PR,42.24410265480458
16,Juventude,39.012810221631916
17,Sport,37.416003952537245
18,Grêmio,34.69430120054846
19,Chapecoense,15.812457071567746
