,clube,ranking_clube,fase
0,Atlético-MG,1,73.33
1,Fluminense,9,66.67
2,Internacional,8,66.67
3,América-MG,10,60.0
4,Athlético-PR,7,60.0
5,Corinthians,5,60.0
6,Flamengo,2,53.33
7,Grêmio,17,46.67
8,São Paulo,14,46.67
9,Cuiabá,12,40.0
10,Fortaleza,4,40.0
11,Sport,19,40.0
12,Ceará,13,33.33
13,Bahia,18,33.33
14,Chapecoense,20,33.33
15,Atlético-GO,11,33.33
16,Juventude,15,26.67
17,Palmeiras,3,26.67
18,Santos,16,20.0
19,Bragantino,6,20.0
