,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Chapecoense,Fortaleza,4.16,3.47,1.9
1,América-MG,Bahia,1.87,3.59,4.09
5,Ceará,Bragantino,2.43,3.13,3.11
6,Grêmio,Juventude,1.66,3.59,5.89
8,Sport,Santos,2.69,3.13,2.78
12,Fluminense,Flamengo,3.41,3.39,2.12
13,Fortaleza,Athletico-PR,1.83,3.49,4.4
14,Palmeiras,Sport,1.64,3.84,5.22
15,Atlético-MG,Cuiabá,1.45,4.38,7.14
16,Internacional,Corinthians,1.84,3.61,4.21
17,Bragantino,São Paulo,2.06,3.29,3.67
19,Atlético-GO,Grêmio,2.54,3.2,2.82
20,Bahia,Ceará,2.27,3.05,3.37
21,Santos,Fluminense,2.33,3.05,3.13
