,mandante,visitante,odds_mandante,odds_empate,odds_visitante
1,Fluminense,Atlético-GO,1.88,3.32,4.57
2,Sport,Corinthians,4.08,3.14,2.04
3,Athletico-PR,Bahia,1.86,3.43,4.5
4,Fortaleza,Flamengo,3.42,3.45,2.16
5,Juventude,América-MG,3.18,2.96,2.5
6,Palmeiras,Bragantino,1.92,3.53,4.14
7,Internacional,Chapecoense,1.51,4.06,6.87
9,Cuiabá,São Paulo,3.67,3.04,2.16
10,Bahia,Ceará,2.4,3.1,3.1
11,Santos,Fluminense,2.7,2.9,2.8
