,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,3,67.79916666666666,1,54.76333333333333,4,80.835,1
1,4,54.98166666666666,2,51.88999999999999,5,58.07333333333333,2
2,0,49.536249999999995,3,67.32249999999999,1,31.75,11
3,9,49.526250000000005,4,44.1275,10,54.925000000000004,3
4,6,49.01416666666667,5,49.775000000000006,7,48.25333333333333,5
5,5,48.642916666666665,6,51.60333333333333,6,45.682500000000005,6
6,8,47.8175,7,44.690000000000005,9,50.945,4
7,1,45.50291666666667,8,65.2625,2,25.743333333333336,16
8,12,42.65875,9,40.099999999999994,13,45.2175,7
9,11,40.998333333333335,10,41.89,12,40.10666666666666,9
10,7,39.31791666666667,11,47.38333333333333,8,31.2525,12
11,18,34.28916666666667,12,28.403333333333336,19,40.175,8
12,15,32.645,13,34.42,16,30.870000000000005,13
13,13,32.33583333333333,14,39.416666666666664,14,25.255000000000003,17
14,2,32.23916666666667,15,56.40333333333334,3,8.075000000000001,20
15,14,32.16458333333333,16,36.72666666666667,15,27.6025,15
16,19,31.335416666666664,17,25.063333333333333,20,37.607499999999995,10
17,17,30.605833333333333,18,33.464999999999996,18,27.74666666666667,14
18,10,30.18416666666667,19,42.833333333333336,11,17.535,19
19,16,26.499583333333334,20,33.7125,17,19.286666666666665,18
