,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,72,53,23,30,10,1
1,Flamengo,62,60,27,33,12,2
2,Palmeiras,56,52,41,11,4,3
3,Corinthians,53,38,34,4,6,4
4,Fortaleza,52,41,43,-2,4,5
5,Bragantino,51,49,39,10,6,6
6,Fluminense,50,33,31,2,9,7
7,Ceará,48,36,32,4,10,8
8,Internacional,46,41,37,4,3,9
9,América-MG,44,35,36,-1,7,10
10,Santos,42,30,38,-8,10,11
11,Athlético-PR,40,37,41,-4,3,12
12,Atlético-GO,40,24,29,-5,3,13
13,Cuiabá,39,29,30,-1,5,14
14,São Paulo,39,26,33,-7,4,15
15,Juventude,38,31,38,-7,9,16
16,Bahia,36,32,42,-10,1,17
17,Sport,33,21,33,-12,3,18
18,Grêmio,32,31,40,-9,9,19
19,Chapecoense,15,27,59,-32,1,20
