,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,América-MG,Chapecoense,1.28,5.55,11.49
1,Cuiabá,Palmeiras,1.74,3.51,5.17
2,Bahia,Atlético-MG,3.79,3.4,2.03
3,Grêmio,São Paulo,2.41,3.19,3.12
4,Athletico-PR,Cuiabá,1.69,3.81,5.31
5,Chapecoense,Atlético-GO,4.44,3.72,1.82
6,Sport,Flamengo,5.91,4.22,1.57
7,Fortaleza,Juventude,1.84,3.52,4.59
