,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Sport,Chapecoense,2.13,3.21,3.68
1,Santos,Flamengo,4.99,4.09,1.65
2,Grêmio,Corinthians,2.59,2.93,3.09
3,Palmeiras,Athletico-PR,1.64,4.14,5.18
4,América-MG,Ceará,2.47,3.03,3.17
5,Juventude,São Paulo,3.91,3.13,2.09
6,Atlético-GO,Internacional,3.51,3.36,2.12
7,Bragantino,Atlético-MG,3.07,3.32,2.38
8,Fluminense,Bahia,2.08,3.29,3.7
9,Fortaleza,Cuiabá,1.73,3.55,5.16
