,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Chapecoense,Palmeiras,5.11,3.81,1.68
1,Athletico-PR,Juventude,2.15,3.09,3.79
2,Atlético-MG,Sport,1.39,4.48,9.18
3,Bahia,Bragantino,2.61,3.33,2.69
4,Ceará,Santos,2.12,3.35,3.52
5,Internacional,Fortaleza,2.2,3.33,3.37
6,São Paulo,Atlético-GO,1.78,3.77,4.64
7,Corinthians,América-MG,2.01,3.2,4.17
8,Flamengo,Grêmio,1.53,4.25,6.23
9,Cuiabá,Fluminense,2.65,2.92,2.99
