,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Athletico-PR,Atlético-MG,4.73,3.63,1.77
1,Grêmio,Bragantino,1.78,3.64,4.67
2,América-MG,Atlético-GO,1.74,3.6,5.05
3,Cuiabá,Internacional,2.79,3.1,2.7
4,Santos,Chapecoense,1.41,4.62,7.96
5,Fortaleza,Ceará,2.1,3.25,3.72
6,Juventude,Fluminense,2.72,3.01,2.88
7,Palmeiras,São Paulo,1.99,3.4,4.1
8,Flamengo,Corinthians,1.56,4.16,6.26
9,Sport,Bahia,2.65,3.1,2.86
