,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,xG_per_shot,shots_per_goal,clube
0,100652,Yuri Alberto,285,8.294411685754644,63,20,11,0.41472058428773223,0.13165732834531182,5.7272727272727275,Internacional
1,83257,Gabriel,262,3.3173452984272087,27,9,6,0.36859392204746766,0.12286464068248922,4.5,Flamengo
2,86120,Borja,284,3.581950007273513,30,10,4,0.3581950007273513,0.11939833357578376,7.5,Grêmio
3,39148,Hulk,282,6.056969659686818,64,18,9,0.3364983144270454,0.09464015093260653,7.111111111111111,Atlético-MG
4,94286,Perotti,315,3.0061196438468207,22,9,3,0.33401329376075783,0.1366418019930373,7.333333333333333,Chapecoense
5,101314,Ademir,327,5.052398977787771,44,16,6,0.3157749361117357,0.11482724949517661,7.333333333333333,América-MG
6,69141,Ricardo Bueno,286,2.8193779442979428,28,9,5,0.3132642160331047,0.10069206943921225,5.6,Juventude
7,53148,Ytalo,280,4.3633359571371795,33,14,9,0.31166685408122713,0.13222230173142968,3.6666666666666665,Bragantino
8,94068,Ribamar,327,3.6926932960389034,28,12,2,0.3077244413365753,0.13188190342996084,14.0,América-MG
9,68952,Marinho,277,5.174332484189987,62,17,3,0.30437249906999925,0.08345697555145141,20.666666666666668,Santos
10,87098,Matheus Peixoto,286,2.3918854016545223,20,8,6,0.2989856752068153,0.11959427008272612,3.3333333333333335,Juventude
11,80287,Luciano,276,2.3075322375289353,18,8,1,0.2884415296911169,0.12819623541827418,18.0,São Paulo
12,90309,David,356,4.034828800230804,31,14,4,0.28820205715934316,0.13015576774938079,7.75,Fortaleza
13,94583,Pedro,262,4.122760938233215,34,15,6,0.27485072921554765,0.1212576746539181,5.666666666666667,Flamengo
14,90285,Bruno Henrique,262,3.562502937090506,34,13,8,0.27403868746850046,0.10477949814972076,4.25,Flamengo
15,101290,Ferreira,284,4.570937377465921,48,17,1,0.26887866926270126,0.09522786203054003,48.0,Grêmio
16,61188,Gilberto,265,5.633687163829651,50,21,10,0.2682708173252215,0.11267374327659302,5.0,Bahia
17,69214,Anselmo Ramon,315,3.443536848562501,25,13,4,0.26488744988942314,0.13774147394250005,6.25,Chapecoense
18,87863,Arrascaeta,262,2.1127192774171912,25,8,1,0.2640899096771489,0.08450877109668765,25.0,Flamengo
19,83433,Patrick,285,3.960484624914235,24,15,3,0.26403230832761565,0.1650201927047598,8.0,Internacional
20,72389,Mike,315,2.8982721657004613,21,11,5,0.26347928779095103,0.13801296027145055,4.2,Chapecoense
21,80196,Yago Pikachu,356,5.474226094215611,42,21,5,0.26067743305788627,0.13033871652894313,8.4,Fortaleza
22,68690,André,292,2.867092216273809,27,11,1,0.26064474693398265,0.10618860060273366,27.0,Sport
23,38138,Jô,264,4.1485179689870435,29,16,6,0.2592823730616902,0.1430523437581739,4.833333333333333,Corinthians
24,92708,Deyverson,275,2.5142156276706276,21,10,2,0.25142156276706273,0.11972455369860131,10.5,Palmeiras
25,81845,Alisson,284,3.497926799509976,41,14,3,0.24985191425071257,0.08531528779292624,13.666666666666666,Grêmio
26,99392,Michael,262,3.99330009454893,40,16,6,0.24958125590930813,0.09983250236372325,6.666666666666667,Flamengo
27,71505,Jenison,1371,2.9828250557774663,23,12,4,0.2485687546481222,0.1296880459033681,5.75,Cuiabá
28,104125,Cléber,354,3.3959479192856494,31,14,2,0.24256770852040352,0.10954670707373063,15.5,Ceará
29,38588,Elton,1371,3.5955898636574246,32,15,6,0.23970599091049496,0.11236218323929452,5.333333333333333,Cuiabá
30,84817,Robson,356,5.030420960749488,47,21,7,0.23954385527378516,0.10703023320743592,6.714285714285714,Fortaleza
31,86485,Keno,282,2.151784408826153,18,9,1,0.23908715653623924,0.11954357826811962,18.0,Atlético-MG
32,87999,Gustavo Scarpa,275,4.060849095174043,53,17,3,0.2388734761867084,0.07661979424856685,17.666666666666668,Palmeiras
33,38162,Fred,266,2.8594810377587887,22,12,3,0.23829008647989905,0.12997641080721767,7.333333333333333,Fluminense
34,102878,Terans,293,4.255104084256515,51,18,5,0.23639467134758416,0.0834334134167944,10.2,Athlético-PR
35,109282,Luiz Henrique,266,3.306350690858929,30,14,4,0.2361679064899235,0.11021168969529763,7.5,Fluminense
36,61033,Rodriguinho,265,3.933504357635848,33,17,3,0.23138260927269694,0.11919710174654086,11.0,Bahia
37,96340,Lima,354,3.880508777932751,41,17,2,0.2282652222313383,0.09464655555933539,20.5,Ceará
38,68920,Dudu,275,2.9530951592196244,28,13,1,0.22716116609381726,0.10546768425784372,28.0,Palmeiras
39,90031,Mendoza,354,2.716461077312764,28,12,1,0.22637175644273033,0.09701646704688442,28.0,Ceará
40,92696,Renato Kayzer,293,2.4571096180116254,19,11,4,0.22337360163742048,0.12932155884271712,4.75,Athlético-PR
41,111333,Sorriso,286,4.0053891385599005,39,18,1,0.22252161880888335,0.10270228560410001,39.0,Juventude
42,89898,Róger Guedes,264,1.9883108749542153,22,9,4,0.22092343055046837,0.09037776704337343,5.5,Corinthians
43,94509,Raphael Veiga,275,4.410839555523359,49,20,5,0.22054197777616796,0.090017133786191,9.8,Palmeiras
44,87552,Vitor Bueno,276,1.9834884300310773,16,9,1,0.22038760333678636,0.12396802687694233,16.0,São Paulo
45,102318,Caio Paulista,266,2.3810815840212767,18,11,1,0.21646196218375244,0.13228231022340425,18.0,Fluminense
46,94916,Nacho Fernández,282,2.3535978945107563,25,11,5,0.2139634449555233,0.09414391578043026,5.0,Atlético-MG
