,clube,P,GP,GC,SG,Fase,ranking
0,Bragantino,22,20,11,9,11,1
1,Palmeiras,22,18,10,8,12,2
2,Athlético-PR,19,17,9,8,7,3
3,Atlético-MG,19,13,9,4,9,4
4,Fortaleza,18,18,9,9,7,5
5,Bahia,17,18,13,5,9,6
6,Santos,15,11,10,1,8,7
7,Corinthians,14,8,7,1,9,8
8,Ceará,14,11,10,1,9,9
9,Atlético-GO,14,8,8,0,7,10
10,Fluminense,14,8,9,-1,5,11
11,Flamengo,12,10,8,2,6,12
12,Juventude,12,7,12,-5,7,13
13,Internacional,10,10,16,-6,5,14
14,América-MG,9,9,15,-6,8,15
15,São Paulo,8,7,11,-4,6,16
16,Sport,7,5,9,-4,3,17
17,Cuiabá,5,5,9,-4,3,18
18,Chapecoense,4,8,18,-10,1,19
19,Grêmio,2,4,12,-8,2,20
