,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 1, 'CA': 3, 'DS': 28, 'FC': 12, 'FD': 2, 'FF': 5, 'FS': 11, 'PI': 35, 'SG': 4}",73800,24,262,3,7,0.4,10.29,-1.18,4.48,11,rodrigo-caio,Rodrigo Caio,R. Caio,Rodrigo Caio Coquette Russo,https://s.glbimg.com/es/sde/f/2021/05/01/361e833ec8151b521da956148bee92e5_FORMATO.png,Provável
1,"{'CA': 2, 'DS': 70, 'FC': 23, 'FD': 6, 'FF': 2, 'FS': 27, 'I': 1, 'PI': 221, 'SG': 6}",42500,24,264,2,7,0.0,12.19,0.0,3.82,22,fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s.glbimg.com/es/sde/f/2021/08/06/1dbfc9287c7d5ed6dcd220b9228fc055_FORMATO.png,Provável
2,{},70323,24,1371,6,6,3.38,4.43,0.2,3.12,15,jorginho,Jorginho,Jorginho,Jorge Amorim de Oliveira Campos,https://s.glbimg.com/es/sde/f/2021/04/27/ed89bb6662d329721f0b34029b57a978_FORMATO.png,Nulo
3,"{'A': 2, 'CA': 1, 'DS': 51, 'FC': 15, 'FD': 1, 'FF': 2, 'FS': 10, 'I': 2, 'PI': 110, 'SG': 7}",38750,24,262,2,7,0.0,9.31,0.0,4.85,17,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s.glbimg.com/es/sde/f/2021/05/01/d86e6ac0aeabadf61f4625bb2f705863_FORMATO.png,Provável
4,{},37245,24,265,6,7,0.0,9.25,0.0,3.54,18,guto-ferreira,Guto Ferreira,G. Ferreira,Augusto Sérgio Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Provável
5,"{'DE': 34, 'FS': 5, 'GS': 15, 'SG': 4}",71631,24,275,1,6,0.0,14.76,0.0,3.46,12,weverton,Weverton,Weverton,Weverton Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/30/33d63334ddcba3f0e0150bb2c5aadd75_FORMATO.png,Nulo
6,"{'CA': 2, 'CV': 1, 'DS': 20, 'FC': 10, 'FD': 2, 'FF': 4, 'FS': 10, 'G': 1, 'PI': 71, 'SG': 4}",38394,24,293,3,7,0.0,8.83,0.0,2.35,16,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,Provável
7,"{'CA': 3, 'DE': 71, 'DP': 1, 'DS': 1, 'FS': 2, 'GS': 19, 'SG': 10}",71571,24,373,1,7,1.0,16.88,-1.23,5.0,21,fernando-miguel,Fernando Miguel,F. Miguel,Fernando Miguel Kaufmann,https://s.glbimg.com/es/sde/f/2021/04/20/88ab80496dcd025f8e23875c60ede171_FORMATO.png,Provável
8,"{'CA': 3, 'DS': 23, 'FC': 13, 'FD': 1, 'FF': 2, 'FS': 4, 'G': 1, 'I': 1, 'PI': 65}",93790,24,373,4,6,0.0,3.62,0.0,1.36,12,marlon-freitas,Marlon Freitas,M. Freitas,Marlon Rodrigues Freitas,https://s.glbimg.com/es/sde/f/2021/05/01/441dbd3fa5dc62d8f397990770aa1344_FORMATO.png,Nulo
9,"{'A': 6, 'CA': 2, 'DS': 10, 'FC': 32, 'FD': 15, 'FF': 24, 'FS': 55, 'FT': 4, 'G': 8, 'I': 8, 'PC': 1, 'PI': 102, 'PS': 2}",39148,24,282,5,7,2.2,20.59,-0.5,6.7,22,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png,Provável
10,"{'DE': 54, 'DS': 2, 'FS': 2, 'GS': 15, 'SG': 12}",72294,24,282,1,7,0.0,11.58,-1.65,4.44,23,everson,Everson,Everson,Everson Felipe Marques Pires,https://s.glbimg.com/es/sde/f/2021/05/02/2eff4cdfd58d4f859979ef83bbe1ad06_FORMATO.png,Provável
11,"{'A': 1, 'DS': 17, 'FC': 7, 'FF': 1, 'FS': 13, 'PC': 1, 'PI': 101, 'SG': 4}",87225,24,293,3,7,4.4,7.89,0.29,2.03,17,pedro-henrique,Pedro Henrique,P. Henrique,Pedro Henrique Ribeiro Gonçalves,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,Provável
12,"{'DE': 37, 'DP': 1, 'FS': 2, 'GS': 15, 'SG': 9}",78851,24,354,1,6,0.0,8.31,0.0,4.41,17,richard,Richard,Richard,Richard de Oliveira da Costa,https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png,Nulo
13,"{'A': 3, 'CA': 2, 'DS': 3, 'FC': 6, 'FD': 6, 'FF': 9, 'FS': 5, 'G': 2, 'I': 3, 'PI': 25}",70360,24,282,5,6,8.6,7.0,1.33,2.65,15,eduardo-sasha,Eduardo Sasha,E. Sasha,Eduardo Colcenti Antunes,https://s.glbimg.com/es/sde/f/2021/04/23/c4219f6ceb958aef5f871e8ecf08b6a5_FORMATO.png,Nulo
14,"{'CA': 3, 'DS': 8, 'FC': 10, 'FD': 1, 'FF': 1, 'FS': 8, 'PI': 33, 'SG': 4}",89493,24,282,3,7,-0.2,4.15,-0.42,2.46,8,igor-rabello,Igor Rabello,I. Rabello,Igor Rabello da Costa,https://s.glbimg.com/es/sde/f/2021/05/02/a3c5d8522641cc6e0c6c72d9dbcc14fd_FORMATO.png,Provável
15,{},42411,24,282,6,7,2.74,12.26,-0.37,4.71,23,cuca,Cuca,Cuca,Alexi Stival,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,Provável
16,"{'A': 1, 'DS': 10, 'FC': 7, 'FD': 1, 'FF': 3, 'FS': 6, 'G': 1, 'PI': 104, 'SG': 4}",71602,24,327,2,6,0.0,6.5,0.0,2.97,12,joao-paulo,João Paulo,J. Paulo,João Paulo Gomes da Costa,https://s.glbimg.com/es/sde/f/2021/06/04/71c98de1e3ed4f97ef1a68c10b697126_FORMATO.png,Nulo
