,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'DE': 46, 'FS': 5, 'GS': 17, 'SG': 6}",71631,30,275,1,7,9.0,15.3,1.09,3.84,16,weverton,Weverton,Weverton,Weverton Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/30/33d63334ddcba3f0e0150bb2c5aadd75_FORMATO.png,Provável
1,{},37245,30,265,6,7,5.49,9.78,0.34,4.0,24,guto-ferreira,Guto Ferreira,G. Ferreira,Augusto Sérgio Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Provável
2,"{'CA': 4, 'DS': 83, 'FC': 30, 'FD': 6, 'FF': 4, 'FS': 37, 'I': 1, 'PI': 284, 'SG': 9}",42500,30,264,2,7,6.4,12.39,-0.13,3.88,27,fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s.glbimg.com/es/sde/f/2021/08/06/1dbfc9287c7d5ed6dcd220b9228fc055_FORMATO.png,Provável
3,"{'CA': 3, 'CV': 1, 'DS': 24, 'FC': 14, 'FD': 2, 'FF': 5, 'FS': 12, 'G': 1, 'PI': 90, 'SG': 5}",38394,30,293,3,7,5.6,9.16,0.91,2.13,20,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,Provável
4,"{'A': 2, 'CA': 5, 'DS': 13, 'FC': 39, 'FD': 13, 'FF': 30, 'FS': 32, 'G': 10, 'I': 8, 'PI': 100}",61188,30,265,5,7,3.8,13.65,1.01,4.26,27,gilberto,Gilberto,Gilberto,Gilberto Oliveira Souza Júnior,https://s.glbimg.com/es/sde/f/2021/04/19/084597dfc92b63b3485d5ed7b75cdfa6_FORMATO.png,Provável
5,"{'CA': 1, 'DE': 24, 'FS': 1, 'GS': 13, 'SG': 2}",78584,30,286,1,7,0.0,5.98,0.0,2.44,8,douglas-friedrich,Douglas Friedrich,D. Friedrich,Douglas Alan Schuck Friedrich,https://s.glbimg.com/es/sde/f/2021/07/01/4d71bac1913eb8c0a90d47f3cdcde3c8_FORMATO.png,Provável
6,"{'A': 2, 'CA': 3, 'DS': 62, 'FC': 20, 'FD': 2, 'FF': 2, 'FS': 12, 'I': 2, 'PI': 131, 'SG': 9}",38750,30,262,2,5,0.0,9.42,0.0,4.86,20,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s.glbimg.com/es/sde/f/2021/05/01/d86e6ac0aeabadf61f4625bb2f705863_FORMATO.png,Contundido
7,"{'A': 2, 'CA': 2, 'DS': 54, 'FC': 23, 'FD': 3, 'FF': 10, 'FS': 31, 'I': 3, 'PC': 1, 'PI': 234, 'SG': 8}",68808,30,265,2,7,8.0,9.46,0.15,4.09,22,nino-paraiba,Nino Paraíba,N. Paraíba,Severino do Ramo Clementino da Silva,https://s.glbimg.com/es/sde/f/2021/04/19/ca9f764ab6737639cb0b1773cb5cbc1c_FORMATO.png,Provável
8,"{'CA': 2, 'DE': 97, 'FS': 6, 'GS': 27, 'SG': 7}",93882,30,280,1,7,1.0,9.14,-0.45,4.15,25,cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png,Provável
9,"{'A': 7, 'CA': 2, 'CV': 1, 'DS': 20, 'FC': 13, 'FD': 15, 'FF': 25, 'FS': 42, 'G': 7, 'PI': 182}",95799,30,280,5,7,5.0,15.71,-0.61,6.19,22,artur,Artur,Artur,Artur Victor Guimarães,https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png,Provável
10,{},82792,30,280,6,7,1.93,13.09,0.01,4.12,28,mauricio-barbieri,Maurício Barbieri,M. Barbieri,Maurício Nogueira Barbieri,https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,Provável
11,"{'A': 2, 'CA': 4, 'DS': 35, 'FC': 12, 'FD': 1, 'FF': 2, 'FS': 10, 'PI': 83, 'SG': 5}",97867,30,280,3,2,0.0,8.55,0.0,3.1,18,leo-ortiz,Léo Ortiz,L. Ortiz,Leonardo Rech Ortiz,https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png,Dúvida
12,"{'A': 2, 'CA': 5, 'DS': 13, 'FC': 5, 'FD': 14, 'FF': 23, 'FS': 25, 'G': 3, 'I': 3, 'PI': 165}",71162,30,354,4,7,8.4,11.84,-0.02,2.56,25,vina,Vina,Vina,Vinícius Goes Barbosa de Souza,https://s.glbimg.com/es/sde/f/2021/06/02/03a9bd95b9964e9fa07bbf7412a7a03c_FORMATO.png,Provável
13,"{'A': 1, 'DS': 25, 'FC': 10, 'FD': 1, 'FF': 1, 'FS': 21, 'PC': 1, 'PI': 116, 'SG': 5}",87225,30,293,3,7,9.5,8.71,1.04,2.49,20,pedro-henrique,Pedro Henrique,P. Henrique,Pedro Henrique Ribeiro Gonçalves,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,Provável
14,"{'CA': 2, 'DS': 22, 'FC': 11, 'FD': 3, 'FF': 4, 'FS': 7, 'I': 1, 'PI': 37, 'PS': 1, 'SG': 7}",72359,30,354,3,3,3.4,6.97,-0.08,4.19,13,luiz-otavio,Luiz Otávio,L. Otávio,Luiz Otávio Anacleto Leandro,https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png,Suspenso
