,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,56,41,17,24,11,1
1,Flamengo,45,46,21,25,11,2
2,Fortaleza,42,33,29,4,9,3
3,Bragantino,41,40,29,11,8,4
4,Palmeiras,40,37,32,5,2,5
5,Corinthians,40,28,23,5,10,6
6,Internacional,39,34,26,8,10,7
7,Athlético-PR,34,32,32,0,7,8
8,Fluminense,32,23,26,-3,4,9
9,Atlético-GO,31,19,21,-2,5,10
10,Cuiabá,30,24,24,0,5,11
11,Ceará,30,22,25,-3,5,12
12,América-MG,30,25,29,-4,8,13
13,São Paulo,29,21,26,-5,4,14
14,Santos,28,23,32,-9,4,15
15,Juventude,27,24,32,-8,5,16
16,Bahia,27,28,38,-10,4,17
17,Sport,26,14,22,-8,9,18
18,Grêmio,20,19,28,-9,1,19
19,Chapecoense,13,23,44,-21,3,20
