,clube,P,GP,GC,SG,Fase,ranking
0,Bragantino,18,17,9,8,13,1
1,Athlético-PR,16,14,6,8,7,2
2,Palmeiras,16,15,10,5,12,3
3,Fortaleza,15,13,7,6,6,4
4,Atlético-MG,13,10,8,2,7,5
5,Flamengo,12,9,5,4,6,6
6,Santos,12,9,7,2,8,7
7,Juventude,12,7,9,-2,10,8
8,Bahia,11,15,13,2,7,9
9,Corinthians,10,6,6,0,6,10
10,Atlético-GO,10,6,7,-1,4,11
11,Ceará,10,9,10,-1,6,12
12,Fluminense,10,7,9,-2,5,13
13,Internacional,9,9,13,-4,5,14
14,Sport,6,4,7,-3,5,15
15,América-MG,6,7,11,-4,6,16
16,São Paulo,5,4,9,-5,4,17
17,Cuiabá,4,4,7,-3,3,18
18,Chapecoense,4,8,15,-7,3,19
19,Grêmio,2,4,9,-5,2,20
