,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,62,45,21,24,9,1
1,Palmeiras,52,45,34,11,13,2
2,Flamengo,50,50,26,24,8,3
3,Fortaleza,48,39,33,6,9,4
4,Corinthians,47,32,26,6,10,5
5,Bragantino,45,43,34,9,7,6
6,Internacional,43,37,30,7,7,7
7,Fluminense,41,28,28,0,9,8
8,Ceará,38,26,27,-1,9,9
9,Atlético-GO,37,23,24,-1,6,10
10,América-MG,37,29,31,-2,7,11
11,Athlético-PR,37,34,37,-3,4,12
12,São Paulo,35,23,28,-5,7,13
13,Bahia,35,32,38,-6,9,14
14,Cuiabá,34,26,27,-1,7,15
15,Santos,32,24,36,-12,4,16
16,Sport,30,17,25,-8,4,17
17,Juventude,29,26,35,-9,2,18
18,Grêmio,23,23,36,-13,3,19
19,Chapecoense,14,26,52,-26,2,20
