,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,39,27,13,14,8,1
1,Palmeiras,35,29,20,9,3,2
2,Fortaleza,33,29,20,9,6,3
3,Bragantino,32,29,19,10,5,4
4,Flamengo,31,32,16,16,7,5
5,Corinthians,28,18,16,2,11,6
6,Atlético-GO,25,14,15,-1,6,7
7,Athlético-PR,24,23,21,2,1,8
8,Ceará,24,19,19,0,2,9
9,Fluminense,24,17,19,-2,7,10
10,Internacional,23,22,22,0,8,11
11,São Paulo,22,15,20,-5,10,12
12,Santos,22,20,25,-5,3,13
13,Juventude,22,15,20,-5,6,14
14,Cuiabá,21,17,17,0,11,15
15,Bahia,21,24,32,-8,4,16
16,América-MG,18,15,22,-7,7,17
17,Sport,17,8,14,-6,3,18
18,Grêmio,13,11,18,-7,6,19
19,Chapecoense,7,15,31,-16,3,20
