,clube,P
0,Palmeiras,67.36161070222505
1,Atlético-MG,64.8220101892583
2,Flamengo,60.66923000269241
3,Athlético-PR,59.31795378569344
4,Bragantino,58.47154241776162
5,Fortaleza,58.18746518135772
6,Corinthians,53.626695523513064
7,Fluminense,52.61493957682522
8,Santos,51.209958677342506
9,Ceará,49.48994861657376
10,Internacional,49.389515583441195
11,São Paulo,48.55738051765831
12,Bahia,47.75634744132655
13,Atlético-GO,45.05640932463693
14,Grêmio,41.84304405010689
15,Juventude,41.11583539217325
16,Sport,40.00708802671236
17,Cuiabá,34.26799827400913
18,Chapecoense,32.30580699893253
19,América-MG,31.74109955612517
