,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,América-MG,São Paulo,2.19,3.29,3.49
1,Atlético-GO,Flamengo,1.85,3.78,4.08
2,Bragantino,Internacional,1.92,3.76,3.88
3,Juventude,Corinthians,1.85,3.48,4.48
4,Fluminense,Chapecoense,1.29,5.58,10.5
5,Fortaleza,Bahia,3.02,3.22,2.45
6,Grêmio,Atlético-MG,1.65,4.31,4.76
7,Palmeiras,Ceará,3.95,3.94,1.84
8,Santos,Cuiabá,1.89,3.35,4.49
9,Sport,Athletico-PR,2.08,3.46,3.52
