,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Atlético-GO,Santos,2.43,3.26,3.03
1,América-MG,Grêmio,2.42,3.13,3.18
2,Bragantino,Fortaleza,2.11,3.3,3.66
3,Internacional,Athletico-PR,1.88,3.42,4.42
4,Corinthians,Cuiabá,1.55,4.0,6.59
5,São Paulo,Flamengo,3.21,3.34,2.31
6,Fluminense,Palmeiras,3.27,3.27,2.31
7,Ceará,Sport,1.83,3.25,5.14
8,Chapecoense,Juventude,2.8,3.06,2.74
