Codigo,Lance,Nome,Ocorrencia,PosicaoLance,TempoPartida,TimestampStr,atleta_id,apelido,sigla,posicao_id,match_id,tempo,tempo_2,clube_id,Codigo_SCT,match_id_sct,rodada_id,Torneio,Edicao,adversario_id,home_dummy,CampoPosicaoX,CampoPosicaoY,ContraAtaque,Metros,TravePosicaoX,TravePosicaoY,Goal,header,goal_x_px,goal_y_px,field_x_px,field_y_px,goal_x_metros,goal_y_metros,field_x_metros,field_y_metros,Center_dist,xG_angle_radians,xG_angle_degrees,xG_vertical_angle_radians,xG_vertical_angle_degrees,Timestamp,year,month,day,xG
13,Finalização,Fora da Área Defendido,PT2M6S,30,2,2023-11-02T21:11:46,89275,William,LAD,2,302729.0,02:06,21:11:46,283,13.0,15650.0,31,Brasileiro,2023.0,276,0.0,514.0,216.0,0,30.0,416.0,242.0,0,0,416.0,242.0,514.0,216.0,11.362388059701493,5.789019607843137,41.55472636815921,35.294117647058826,30.0,0.08708786331433838,4.989767014723783,0.526877918934559,30.18788107358616,2023-11-02 21:11:46,2023,11,2,0.0013956683687865734
10,Finalização,Dentro Área Defendido,PT2M17S,34,2,2023-11-02T21:10:48,91689,Matheus Jussa,VOL,9,302729.0,02:17,21:10:48,283,10.0,15650.0,31,Brasileiro,2023.0,276,0.0,425.0,104.0,0,15.0,459.0,251.0,0,0,459.0,251.0,425.0,104.0,12.536865671641792,6.004313725490197,34.35945273631841,16.99346405228758,15.0,0.08522988525266935,4.883312713362249,0.500414608383274,28.671645067053504,2023-11-02 21:10:48,2023,11,2,0.9281612634658813
18,Finalização Cabeça,Grande Área Para Fora,PT6M54S,33,2,2023-11-02T21:14:35,92811,Bruno Rodrigues,ATA,10,302729.0,06:54,21:14:35,283,18.0,15650.0,31,Brasileiro,2023.0,276,0.0,268.0,32.0,0,5.0,372.0,158.0,0,1,372.0,158.0,268.0,32.0,10.160597014925374,3.779607843137255,21.666666666666668,5.228758169934641,5.0,0.07901471170873789,4.52720950035361,0.4016429348177272,23.012445036303795,2023-11-02 21:14:35,2023,11,2,0.0013413707492873073
21,Finalização,Dentro Área Bloqueado,PT8M58S,32,2,2023-11-02T21:22:32,96966,Arthur Gomes,ATA,10,302729.0,08:58,21:22:32,283,21.0,15650.0,31,Brasileiro,2023.0,276,0.0,248.0,119.0,0,15.0,0.0,0.0,0,0,0.0,0.0,248.0,119.0,0.0,0.0,20.049751243781095,19.444444444444446,15.0,0.18355838047723408,10.517120495602079,0.0,0.0,2023-11-02 21:22:32,2023,11,2,0.0013017853489145637
13,Finalização,Fora da Área Defendido,PT10M4S,28,2,2023-11-02T21:17:43,91689,Matheus Jussa,VOL,9,302729.0,10:04,21:17:43,283,13.0,15650.0,31,Brasileiro,2023.0,276,0.0,441.0,169.0,0,25.0,433.0,277.0,0,0,433.0,277.0,441.0,169.0,11.826716417910449,6.626274509803921,35.65298507462687,27.61437908496732,25.0,0.09972152522455499,5.71362252197438,0.5691165600485981,32.60797694178835,2023-11-02 21:17:43,2023,11,2,0.001314120483584702
18,Finalização Cabeça,Grande Área Para Fora,PT22M18S,33,2,2023-11-02T21:29:57,79701,Lucas Silva,VOL,6,302729.0,22:18,21:29:57,283,18.0,15650.0,31,Brasileiro,2023.0,276,0.0,296.0,17.0,0,5.0,218.0,249.0,0,1,218.0,249.0,296.0,17.0,5.954328358208955,5.956470588235295,23.93034825870647,2.7777777777777777,5.0,0.035847032994152477,2.0538836986311475,0.8516820747647824,48.79778837096747,2023-11-02 21:29:57,2023,11,2,0.0016418126178905368
24,Finalização,Fora da Área Para Fora,PT23M55S,27,2,2023-11-02T21:31:41,107173,Michel Araújo,MEC,9,302729.0,23:55,21:31:41,276,24.0,15650.0,31,Brasileiro,2023.0,283,1.0,361.0,217.0,0,30.0,230.0,126.0,0,0,230.0,126.0,361.0,217.0,6.282089552238807,3.0141176470588236,29.18532338308458,35.45751633986928,30.0,0.12322540108240171,7.060295410828424,0.5011726478310692,28.715077528116595,2023-11-02 21:31:41,2023,11,2,0.005727156065404415
24,Finalização,Fora da Área Para Fora,PT24M41S,26,2,2023-11-02T21:32:22,79701,Lucas Silva,VOL,6,302729.0,24:41,21:32:22,283,24.0,15650.0,31,Brasileiro,2023.0,276,0.0,192.0,173.0,0,25.0,545.0,141.0,0,0,545.0,141.0,192.0,173.0,14.88582089552239,3.3729411764705883,15.522388059701495,28.26797385620915,25.0,0.19889003055671722,11.395559338127876,0.25316460694568715,14.505263500076241,2023-11-02 21:32:22,2023,11,2,0.00130801135674119
13,Finalização,Fora da Área Defendido,PT26M9S,35,2,2023-11-02T21:33:56,82766,Wellington Rato,MEC,10,302729.0,26:09,21:33:56,276,13.0,15650.0,31,Brasileiro,2023.0,283,1.0,635.0,143.0,0,20.0,360.0,249.0,0,0,360.0,249.0,635.0,143.0,9.832835820895523,5.956470588235295,51.33706467661692,23.366013071895424,20.0,0.05393610967458492,3.090311447708444,0.6051112002597728,34.67031791098055,2023-11-02 21:33:56,2023,11,2,0.0020766647066920996
1,Finalização,Fora da Área Bloqueado,PT29M19S,28,2,2023-11-02T21:37:20,102302,Rafael Elias,ATA,10,302729.0,29:19,21:37:20,283,1.0,15650.0,31,Brasileiro,2023.0,276,0.0,438.0,215.0,0,30.0,0.0,0.0,0,0,0.0,0.0,438.0,215.0,0.0,0.0,35.410447761194035,35.130718954248366,30.0,0.10354391281872477,5.932629198783473,0.0,0.0,2023-11-02 21:37:20,2023,11,2,0.0013031823327764869
21,Finalização,Dentro Área Bloqueado,PT31M7S,34,2,2023-11-02T21:42:34,80287,Luciano,ATA,10,302729.0,31:07,21:42:34,276,21.0,15650.0,31,Brasileiro,2023.0,283,1.0,460.0,118.0,0,15.0,0.0,0.0,0,0,0.0,0.0,460.0,118.0,0.0,0.0,37.18905472636816,19.281045751633986,15.0,0.0808718992452031,4.633618507957366,0.0,0.0,2023-11-02 21:42:34,2023,11,2,0.001305574318394065
10,Finalização,Dentro Área Defendido,PT31M43S,33,2,2023-11-02T21:39:45,108422,Erison,ATA,10,302729.0,31:43,21:39:45,276,10.0,15650.0,31,Brasileiro,2023.0,283,1.0,298.0,24.0,0,5.0,300.0,261.0,0,0,300.0,261.0,298.0,24.0,8.194029850746269,6.2435294117647056,24.09203980099503,3.9215686274509807,5.0,0.04924828970101622,2.8217191481058284,0.7159911144163001,41.023269024922435,2023-11-02 21:39:45,2023,11,2,0.0042625293135643005
20,Finalização,Dentro Área Fora,PT32M38S,34,2,2023-11-02T21:41:22,113359,Pablo Maia,VOL,6,302729.0,32:38,21:41:22,276,20.0,15650.0,31,Brasileiro,2023.0,283,1.0,568.0,68.0,0,10.0,293.0,145.0,0,0,293.0,145.0,568.0,68.0,8.002835820895523,3.4686274509803923,45.920398009950254,11.11111111111111,10.0,0.03664096737160909,2.0993727876697577,0.45954366487272996,26.32991249918173,2023-11-02 21:41:22,2023,11,2,0.27104616165161133
12,Finalização,Dentro Área Trave,PT34M33S,33,2,2023-11-02T21:42:39,102302,Rafael Elias,ATA,10,302729.0,34:33,21:42:39,283,12.0,15650.0,31,Brasileiro,2023.0,276,0.0,408.0,95.0,0,15.0,276.0,191.0,0,0,276.0,191.0,408.0,95.0,7.538507462686567,4.5690196078431375,32.985074626865675,15.522875816993464,15.0,0.08615684832102873,4.936423784943739,0.6053562332322238,34.68435726614353,2023-11-02 21:42:39,2023,11,2,0.0026622607838362455
20,Finalização,Dentro Área Fora,PT34M46S,33,2,2023-11-02T21:42:25,93108,Mateus Vital,MEC,9,302729.0,34:46,21:42:25,283,20.0,15650.0,31,Brasileiro,2023.0,276,0.0,288.0,101.0,0,15.0,220.0,203.0,0,0,220.0,203.0,288.0,101.0,6.008955223880597,4.856078431372549,23.28358208955224,16.50326797385621,15.0,0.14967217153594223,8.575583739567582,0.7452306545241365,42.69857126800495,2023-11-02 21:42:25,2023,11,2,0.0015180193586274981
17,Finalização Cabeça,Grande Área Gol,PT38M17S,34,2,2023-11-02T21:46:44,80287,Luciano,ATA,10,302729.0,38:17,21:46:44,276,17.0,15650.0,31,Brasileiro,2023.0,283,1.0,408.0,97.0,0,15.0,478.0,262.0,1,1,478.0,262.0,408.0,97.0,13.05582089552239,6.267450980392157,32.985074626865675,15.84967320261438,15.0,0.08728470036844592,5.001044947175933,0.5013964991900254,28.727903266223052,2023-11-02 21:46:44,2023,11,2,0.9963453412055969
20,Finalização,Dentro Área Fora,PT43M48S,33,2,2023-11-02T21:51:30,80287,Luciano,ATA,10,302729.0,43:48,21:51:30,276,20.0,15650.0,31,Brasileiro,2023.0,283,1.0,350.0,121.0,0,15.0,460.0,144.0,0,0,460.0,144.0,350.0,121.0,12.564179104477613,3.4447058823529413,28.296019900497516,19.77124183006536,15.0,0.12222678222219215,7.003078764796252,0.30337991783948065,17.382388881227914,2023-11-02 21:51:30,2023,11,2,0.0013173717306926847
24,Finalização,Fora da Área Para Fora,PT48M11S,34,2,2023-11-02T21:55:59,113359,Pablo Maia,VOL,6,302729.0,48:11,21:55:59,276,24.0,15650.0,31,Brasileiro,2023.0,283,1.0,422.0,151.0,0,20.0,456.0,152.0,0,0,456.0,152.0,422.0,151.0,12.45492537313433,3.636078431372549,34.116915422885576,24.673202614379086,20.0,0.10229851536987797,5.861273181148191,0.3217505543966422,18.43494882292201,2023-11-02 21:55:59,2023,11,2,0.0013141612289473414
56,Falta,Fora,PT52M3S,26,2,2023-11-02T21:59:45,92811,Bruno Rodrigues,ATA,10,302729.0,52:03,21:59:45,283,56.0,15650.0,31,Brasileiro,2023.0,276,0.0,210.0,168.0,0,25.0,287.0,159.0,0,0,287.0,159.0,210.0,168.0,7.838955223880597,3.803529411764706,16.97761194029851,27.450980392156865,25.0,0.19296092496907166,11.055846611668352,0.5059143723229345,28.98675832911429,2023-11-02 21:59:45,2023,11,2,0.0015266125556081533
8,Finalização Cabeça,Grande Área Defendido,PT2M13S,34,1,2023-11-02T18:02:25,97867,Léo Ortiz,ZAD,3,302731.0,02:13,18:02:25,280,8.0,15654.0,31,Brasileiro,2023.0,290,0.0,494.0,47.0,0,10.0,431.0,217.0,0,1,431.0,217.0,494.0,47.0,11.772089552238807,5.190980392156863,39.93781094527363,7.6797385620915035,10.0,0.03425167990883309,1.9624767000091725,0.4664279540144091,26.724353211947687,2023-11-02 18:02:25,2023,11,2,0.0016268736217170954
24,Finalização,Fora da Área Para Fora,PT2M40S,28,1,2023-11-02T18:02:46,84674,Lucas Evangelista,VOL,9,302731.0,02:40,18:02:46,280,24.0,15654.0,31,Brasileiro,2023.0,290,0.0,539.0,150.0,0,20.0,246.0,162.0,0,0,246.0,162.0,539.0,150.0,6.719104477611941,3.875294117647059,43.57587064676617,24.50980392156863,20.0,0.07203842127474058,4.127497501828075,0.5823529461439831,33.36636600105956,2023-11-02 18:02:46,2023,11,2,0.0014174565440043807
24,Finalização,Fora da Área Para Fora,PT6M13S,27,1,2023-11-02T18:06:19,70360,Eduardo Sasha,ATA,10,302731.0,06:13,18:06:19,280,24.0,15654.0,31,Brasileiro,2023.0,290,0.0,277.0,169.0,0,25.0,183.0,267.0,0,0,183.0,267.0,277.0,169.0,4.998358208955224,6.3870588235294115,22.394278606965177,27.61437908496732,25.0,0.16023851971408823,9.180990895041095,0.9699409605880629,55.573523418560924,2023-11-02 18:06:19,2023,11,2,0.0013571868184953928
1,Finalização,Fora da Área Bloqueado,PT7M55S,27,1,2023-11-02T18:09:06,103695,Jadsom Silva,VOL,6,302731.0,07:55,18:09:06,280,1.0,15654.0,31,Brasileiro,2023.0,290,0.0,366.0,182.0,0,25.0,0.0,0.0,0,0,0.0,0.0,366.0,182.0,0.0,0.0,29.58955223880597,29.73856209150327,25.0,0.12399996196677536,7.104674480478955,0.0,0.0,2023-11-02 18:09:06,2023,11,2,0.0013040159828960896
