,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,10,São Paulo,Cuiabá,1.918758910537387,0.6127932242040213,68.75,10.7,20.55,46.38,6.51,8.08,54.46,14.59
1,10,Fortaleza,Grêmio,0.9351347816797594,0.7062452502238254,39.39,25.7,34.91,30.27,19.63,19.5,49.769999999999996,39.129999999999995
2,10,Internacional,Corinthians,1.2903186628827825,0.7094226061599329,50.09,21.04,28.88,34.89,14.24,13.46,48.35,27.700000000000003
3,10,Juventude,Vasco,1.2928538460982963,0.7453466342994943,50.09,20.96,28.95,35.16,13.98,12.9,48.059999999999995,26.880000000000003
4,10,Palmeiras,Bragantino,0.9987362112539511,0.7943771581631154,39.42,27.91,32.67,28.61,19.92,16.64,45.25,36.56
5,10,Vitória,Atlético-MG,0.8040908550610766,1.5468405059771613,19.39,55.29,25.32,11.41,35.52,9.21,20.62,44.730000000000004
6,10,Flamengo,Bahia,1.003613974363543,0.8638205119874328,38.01,30.09,31.89,27.05,20.96,15.43,42.480000000000004,36.39
7,10,Botafogo,Athletico-PR,1.7451044861227274,0.920200917016094,56.76,19.58,23.66,32.43,10.54,6.78,39.21,17.32
8,10,Cruzeiro,Fluminense,2.3523026262409985,1.018004760495387,67.47,14.62,17.9,33.2,6.21,3.46,36.660000000000004,9.67
9,10,Atlético-GO,Criciúma,1.381103586521931,1.5611083338735625,34.16,41.62,24.21,16.07,19.45,5.03,21.1,24.48
