,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,11,Bahia,Cruzeiro,1.4439717941917478,0.5490198921101789,58.55,14.33,27.12,43.87,10.09,13.79,57.66,23.88
1,11,Cuiabá,Atlético-GO,0.5688079417062303,1.4420393507306775,14.27,58.9,26.83,9.92,43.69,13.46,23.380000000000003,57.15
2,11,Athletico-PR,Corinthians,1.6428835929371415,0.5804052946157754,63.22,12.99,23.79,45.38,8.76,10.65,56.03,19.41
3,11,Atlético-MG,Fortaleza,0.6938185980543494,1.5293802920496091,16.61,58.34,25.04,10.56,39.94,10.39,20.950000000000003,50.33
4,11,Grêmio,Internacional,0.9773627021349967,0.8708970629377291,36.86,31.05,32.09,26.02,21.88,15.9,41.92,37.78
5,11,Palmeiras,Juventude,1.8499909837730228,1.0010648655472323,57.12,20.36,22.53,31.16,10.18,6.11,37.27,16.29
6,11,Criciúma,Botafogo,0.9923681121241922,1.3317816524843997,27.89,44.41,27.69,16.52,26.8,9.94,26.46,36.74
7,11,Bragantino,Vitória,1.456328875819842,1.0720746770501137,46.08,27.96,25.96,26.12,15.48,7.99,34.11,23.47
8,11,Fluminense,Flamengo,1.188690624758601,1.4736483079381286,30.55,44.16,25.29,15.82,23.43,6.91,22.73,30.34
9,11,Vasco,São Paulo,1.214610348828137,1.8424056571908296,25.3,51.58,23.12,11.17,24.61,4.82,15.99,29.43
