,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,9,Cuiabá,Fortaleza,0.26368726588164765,1.851935772690922,4.71,76.57,18.72,3.75,64.56,12.01,15.76,76.57000000000001
1,9,Vitória,Internacional,0.7667432718832667,1.195891870263343,23.77,46.2,30.02,16.06,31.91,14.06,30.119999999999997,45.97
2,9,Corinthians,São Paulo,0.8163969486486167,1.0290600013686344,28.16,39.84,32.0,20.1,28.82,16.09,36.19,44.91
3,9,Criciúma,Bahia,0.8234263382619247,1.3325046466197819,22.99,48.73,28.27,14.55,32.42,11.31,25.86,43.730000000000004
4,9,Bragantino,Juventude,1.2847525610510881,0.8577520566371579,46.58,24.61,28.81,30.65,15.61,12.11,42.76,27.72
5,9,Atlético-MG,Palmeiras,1.2535594258612641,0.879747389156061,44.97,26.0,29.03,29.38,16.7,12.08,41.46,28.78
6,9,Grêmio,Botafogo,0.9909140815337499,1.0932368078889947,32.56,38.12,29.32,21.41,25.19,12.04,33.45,37.230000000000004
7,9,Fluminense,Atlético-GO,1.4604825362330303,0.995588450692594,47.27,26.21,26.52,27.92,14.72,8.74,36.660000000000004,23.46
8,9,Athletico-PR,Flamengo,1.6734739730600268,1.3397838327800855,45.56,30.68,23.76,21.6,14.04,4.91,26.51,18.95
9,9,Vasco,Cruzeiro,1.4075226560235023,1.787656653439626,30.29,46.54,23.18,12.5,20.66,3.98,16.48,24.64
