,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,7,Cuiabá,Internacional,0.24393452936783433,1.218729711137712,7.42,62.41,30.18,6.44,55.32,22.8,29.240000000000002,78.12
1,7,Grêmio,Bragantino,0.9410663803573698,0.44124535005539656,45.95,16.98,37.06,38.86,13.94,25.45,64.31,39.39
2,7,Criciúma,Palmeiras,0.6850497398215035,1.1221927620160081,22.48,45.9,31.61,16.19,33.77,16.05,32.24,49.82000000000001
3,7,São Paulo,Cruzeiro,0.9737044593008857,0.8494151749958594,36.78,30.02,33.2,26.36,21.42,16.35,42.71,37.77
4,7,Fortaleza,Athletico-PR,0.9254165355426569,0.8827447510945301,34.71,32.76,32.54,24.69,23.32,16.27,40.96,39.59
5,7,Atlético-MG,Bahia,1.6561324774908521,0.9745358146416644,53.99,21.64,24.37,30.7,11.53,6.98,37.68,18.509999999999998
6,7,Vitória,Atlético-GO,1.0495624052515875,1.5202496299364914,26.47,48.39,25.14,14.57,28.02,7.54,22.11,35.56
7,7,Vasco,Flamengo,1.4373780799408753,1.0511112920939922,45.34,28.02,26.64,26.26,15.57,8.16,34.42,23.73
8,7,Corinthians,Botafogo,1.097108293324709,1.1471783767919987,34.41,36.69,28.9,21.14,23.24,10.68,31.82,33.92
9,7,Fluminense,Juventude,1.7537890260573477,1.3469395282833525,47.15,29.1,23.75,21.41,12.39,4.45,25.86,16.84
