,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,13,Grêmio,Fluminense,1.3806269587017597,0.5792318725027144,56.37,15.14,28.49,41.8,10.72,14.43,56.23,25.15
1,13,Fortaleza,Juventude,1.4027546202763914,0.636398253403604,55.67,16.77,27.57,39.96,11.27,12.86,52.82,24.13
2,13,Flamengo,Cruzeiro,1.2281091177991281,0.6672916271258146,49.84,20.01,30.15,36.41,14.39,15.27,51.67999999999999,29.66
3,13,Cuiabá,Bragantino,0.6828979582991451,1.0535170800285414,23.71,43.89,32.4,17.3,33.05,17.24,34.54,50.28999999999999
4,13,Palmeiras,Corinthians,1.4836778878234327,0.7128105196170509,55.91,17.89,26.2,38.39,11.2,11.01,49.4,22.21
5,13,São Paulo,Bahia,1.0246649296643833,0.7894985404486456,40.58,27.05,32.37,29.48,19.42,16.47,45.95,35.89
6,13,Criciúma,Internacional,0.7991400589933619,1.1183817792218178,26.11,42.58,31.31,18.01,30.1,14.86,32.870000000000005,44.96
7,13,Atlético-MG,Atlético-GO,1.0582675412297249,1.0987657385412604,34.24,35.99,29.77,22.09,22.61,11.52,33.61,34.129999999999995
8,13,Vitória,Athletico-PR,1.29613300121855,1.4586777618775764,33.57,40.76,25.67,17.14,21.02,6.42,23.560000000000002,27.439999999999998
9,13,Vasco,Botafogo,1.2938154849534234,1.670426831394434,29.97,45.62,24.41,13.8,21.81,5.08,18.880000000000003,26.89
