,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,8,Palmeiras,Vasco,1.1345652455153563,0.6770243293916186,46.52,21.77,31.71,34.44,15.82,16.41,50.849999999999994,32.230000000000004
1,8,Bragantino,Atlético-MG,0.7077785663617153,1.1903718734780946,21.83,48.01,30.15,15.46,35.09,14.77,30.23,49.86
2,8,Flamengo,Grêmio,1.4995182192263503,0.7431302717886865,55.34,18.67,26.0,36.63,11.94,10.41,47.040000000000006,22.35
3,8,Bahia,Fortaleza,1.085044326571127,0.939084349044909,38.48,30.95,30.57,26.01,20.84,13.08,39.09,33.92
4,8,Cruzeiro,Cuiabá,2.765801257221028,0.9501083774957806,75.12,10.01,14.87,36.19,3.83,2.44,38.629999999999995,6.27
5,8,Botafogo,Fluminense,1.952028444968164,1.0106776285295687,58.61,19.21,22.18,30.55,8.94,5.12,35.67,14.059999999999999
6,8,Atlético-GO,Corinthians,1.0373785211704671,1.3387902470616004,29.01,43.5,27.49,16.96,26.16,9.21,26.17,35.370000000000005
7,8,Internacional,São Paulo,1.102211620270585,1.357454006637757,30.72,42.43,26.86,17.26,24.88,8.77,26.03,33.65
8,8,Juventude,Vitória,2.1045260110404342,1.2812677682377398,55.96,22.66,21.38,24.14,9.09,3.64,27.78,12.73
9,8,Athletico-PR,Criciúma,2.2198142691825824,1.3479855339198064,57.86,22.11,20.04,23.66,7.95,2.9,26.56,10.85
