,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,12,Corinthians,Cuiabá,1.5490998956374824,0.5937044677557424,60.89,13.71,25.4,43.9,9.35,11.78,55.68,21.13
1,12,Bahia,Vasco,1.4853211828973145,0.5844677304849029,59.42,14.57,26.0,43.18,9.99,12.23,55.41,22.22
2,12,Fortaleza,Palmeiras,0.619946058280766,1.0518954076804221,21.57,45.27,33.17,16.2,35.09,18.68,34.879999999999995,53.77
3,12,Botafogo,Bragantino,1.6692585251992569,0.6811771215870976,60.78,15.21,24.0,40.46,9.11,9.38,49.84,18.490000000000002
4,12,São Paulo,Criciúma,1.469932853593491,0.829855838115327,52.58,20.96,26.46,33.98,12.77,10.16,44.14,22.93
5,12,Juventude,Flamengo,0.8500545781105757,1.3326232865763208,23.86,47.95,28.2,15.14,31.29,11.56,26.700000000000003,42.85
6,12,Internacional,Atlético-MG,1.0038192571373656,1.044784480240196,33.37,36.16,30.47,22.07,23.93,12.96,35.03,36.89
7,12,Cruzeiro,Athletico-PR,1.5671307056909427,1.065154618700035,49.3,25.81,24.89,27.29,13.68,7.26,34.55,20.939999999999998
8,12,Atlético-GO,Grêmio,1.2650096717601023,1.2432752870954573,37.06,35.58,27.36,20.85,19.66,8.38,29.230000000000004,28.04
9,12,Fluminense,Vitória,1.5557897447918854,1.2796904073717692,43.97,31.21,24.82,22.28,15.06,6.04,28.32,21.1
